epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/box,val/AP/case,val/AP/phone_back,val/AP/phone_front,val/AP/phone_side,val/AP/ui_battery,val/AP/ui_memory,val/AP/ui_memory_about,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,49,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
0,64,,,,,,,,,,,,,,,,,,,,,,0.33419620990753174,0.38085809350013733,0.8521604537963867,0.9659332633018494,0.801022469997406,0.3232075273990631,0.023367611691355705,0.01724853925406933,0.5061066746711731,0.5250792503356934,0.46534594893455505,0.8284606337547302,4.095366477966309,0.5182371139526367,0.4622492790222168,0.49171775579452515,0.818449079990387,0.4644700288772583,0.5948494076728821
0,64,3898.346923828125,3898.593017578125,3898.343994140625,3898.020263671875,39.41654968261719,6.738267421722412,0.06949657946825027,0.07133815437555313,0.07090549916028976,0.09834620356559753,1.0133774280548096,1.0452721118927002,1.0122960805892944,1.0159200429916382,0.12560445070266724,0.1274331510066986,0.12823286652565002,0.1692150980234146,,,,,,,,,,,,,,,,,,,,,,
1,99,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
1,129,,,,,,,,,,,,,,,,,,,,,,0.6785086989402771,0.6366727352142334,0.8591278791427612,0.9145915508270264,0.8424504995346069,0.5856924653053284,0.16450875997543335,0.23660749197006226,0.6950840950012207,0.7705106735229492,0.6126363277435303,0.8652629256248474,3.9667885303497314,0.7831915020942688,0.6147699952125549,0.6706932783126831,0.8345853686332703,0.6998432874679565,0.7420803308486938
1,129,3898.654052734375,3898.6240234375,3898.654052734375,3898.145263671875,6.915904998779297,4.9153242111206055,0.06633806228637695,0.06539286673069,0.0659947618842125,0.09023581445217133,0.5658106207847595,0.633621096611023,0.5756628513336182,0.6843761205673218,0.11932360380887985,0.11617860943078995,0.11851168423891068,0.15400928258895874,,,,,,,,,,,,,,,,,,,,,,
2,149,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
2,194,,,,,,,,,,,,,,,,,,,,,,0.8198714256286621,0.5837751626968384,0.8187724351882935,0.9222157001495361,0.7799504995346069,0.5685579776763916,0.5437383055686951,0.22761929035186768,0.6755468845367432,0.8087950944900513,0.6698418855667114,0.8487587571144104,4.0839972496032715,0.8226214051246643,0.6580625772476196,0.7365352511405945,0.8445876240730286,0.6123217344284058,0.8595930337905884
2,194,3898.656982421875,3898.4970703125,3898.651123046875,3897.857666015625,3.0264954566955566,4.523278713226318,0.06416656076908112,0.06419117748737335,0.06472345441579819,0.09217631071805954,0.47778770327568054,0.5486448407173157,0.48672667145729065,0.6011634469032288,0.11315014958381653,0.11319907009601593,0.11357147991657257,0.1514139622449875,,,,,,,,,,,,,,,,,,,,,,
3,199,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
